Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Yefry Ramírez,27,do DO,R,R,"6' 2""",215,28-Nov-93,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jake Reed,28,us US,R,R,"6' 2""",197,29-Sep-92,1st,6,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zach Reks,27,us US,L,R,"6' 0""",190,12-Nov-93,1st,6,2,6,4,0,0,0,0,0,0,3,0,2,4,0,3,1,-0.1,,
Edwin Ríos,27,pr PR,L,R,"6' 3""",220,21-Apr-94,3,25,11,25,17,0,0,10,0,6,0,0,0,2,2,1,10,0,-0.8,,
Keibert Ruiz,22,ve VE,B,R,"6' 0""",238,20-Jul-98,2,6,0,6,2,0,2,0,0,0,0,0,0,0,0,0,5,0,0,,
Dennis Santana,25,do DO,R,R,"6' 2""",190,12-Apr-96,4,16,0,14,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Max Scherzer,36,us US,R,R,"6' 3""",208,27-Jul-84,14,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,2.5,,
Corey Seager,27,us US,L,R,"6' 4""",215,27-Apr-94,7,95,90,95,92,0,0,0,0,0,92,0,0,0,0,0,4,0,3.6,"$13,750,000 ",
James Sherfy,29,us US,R,R,"6' 0""",175,27-Dec-91,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Will Smith,26,us US,R,R,"5' 10""",195,28-Mar-95,3,130,114,130,118,0,117,1,0,1,0,0,0,0,0,3,13,0,3.3,,
Steven Souza Jr.,32,us US,R,R,"6' 4""",225,24-Apr-89,7,17,8,17,12,0,0,0,0,0,0,5,0,8,12,0,7,0,-0.2,,
Chris Taylor,30,us US,R,R,"6' 1""",196,29-Aug-90,8,148,132,148,145,0,0,0,46,11,23,30,61,8,89,0,9,0,2.5,"$7,800,000 ",All-Star
Blake Treinen,33,us US,R,R,"6' 5""",225,30-Jun-88,8,72,0,70,72,72,0,0,0,0,0,0,0,0,0,0,0,0,2.5,"$8,000,000 ",
Yoshi Tsutsugo,29,jp JP,L,R,"6' 1""",225,26-Nov-91,2,12,6,12,8,0,0,1,0,0,0,8,0,0,8,0,4,0,-0.1,,
Justin Turner,36,us US,R,R,"5' 11""",208,23-Nov-84,13,151,139,151,143,1,0,0,0,143,0,0,0,0,0,4,11,0,3.5,"$12,000,000 ",All-Star
Trea Turner,28,us US,R,R,"6' 2""",185,30-Jun-93,7,52,51,52,51,0,0,0,49,0,3,0,0,0,0,0,1,0,2.4,,
Edwin Uceta,23,do DO,R,R,"6' 0""",155,9-Jan-98,1st,14,1,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Julio Urías,24,mx MX,L,L,"6' 0""",225,12-Aug-96,6,32,32,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0,5.1,"$3,600,000 ",
Andrew Vasquez,27,us US,L,L,"6' 6""",235,14-Sep-93,3,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Alex Vesia,25,us US,L,L,"6' 1""",209,11-Apr-96,2,41,0,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
Mitch White,26,us US,R,R,"6' 3""",210,28-Dec-94,2,21,4,20,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
